country;1900;1910;1920;1930;1940;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Germany;55.293;64.064;62.277;66.44;71.244;NaN;69.786;70.112;70.421;70.721;71.016;71.314;71.624;71.955;72.318;72.724;73.18;73.686;74.238;74.82;75.411;75.991;76.558;77.107;77.611;78.038;78.367;78.585;78.7;78.733;78.714;78.667;78.604;78.525;78.427;78.305;78.16;77.99;77.812;77.657;77.567;77.57;77.672;77.864;78.147;78.515;78.958;79.484;80.076;80.676;81.207;81.613;81.871;81.994;82.01;81.966;81.896;81.809;81.7;81.569;81.418;81.247;81.056;80.855;80.666;80.52;80.435;80.425;80.478;80.566;80.646;80.689
Ghana;1.891;2.008;2.42;3.08;3.918;NaN;4.981;5.068;5.191;5.339;5.504;5.68;5.864;6.052;6.246;6.445;6.652;6.867;7.085;7.303;7.513;7.711;7.891;8.057;8.221;8.397;8.597;8.827;9.084;9.35;9.604;9.831;10.023;10.19;10.354;10.551;10.802;11.118;11.488;11.895;12.311;12.716;13.104;13.48;13.853;14.232;14.628;15.043;15.472;15.907;16.339;16.761;17.169;17.569;17.969;18.384;18.825;19.294;19.788;20.305;20.84;21.39;21.952;22.528;23.116;23.713;24.318;24.929;25.545;26.164;26.787;27.41
Greece;4.883;5.242;5.64;6.253;7.149;NaN;7.566;7.635;7.706;7.779;7.856;7.935;8.016;8.097;8.175;8.247;8.311;8.366;8.412;8.453;8.492;8.534;8.581;8.631;8.682;8.732;8.779;8.819;8.856;8.897;8.953;9.03;9.133;9.256;9.388;9.514;9.62;9.705;9.771;9.823;9.867;9.908;9.946;9.98;10.017;10.066;10.132;10.218;10.321;10.433;10.543;10.641;10.726;10.798;10.859;10.911;10.954;10.988;11.011;11.03;11.048;11.07;11.098;11.131;11.162;11.179;11.178;11.153;11.11;11.055;11.001;10.955
Guatemala;1.401;1.552;1.724;1.919;2.374;NaN;3.146;3.238;3.331;3.424;3.519;3.614;3.712;3.812;3.914;4.019;4.128;4.24;4.357;4.477;4.601;4.728;4.859;4.993;5.131;5.275;5.423;5.578;5.738;5.902;6.069;6.238;6.408;6.58;6.754;6.933;7.119;7.31;7.508;7.71;7.914;8.117;8.32;8.524;8.729;8.94;9.159;9.385;9.619;9.86;10.106;10.357;10.612;10.872;11.137;11.409;11.689;11.977;12.272;12.573;12.878;13.184;13.49;13.798;14.107;14.418;14.732;15.049;15.369;15.691;16.015;16.343
Guinea;1.989;2.171;2.37;2.589;2.827;NaN;3.094;3.142;3.186;3.228;3.271;3.316;3.364;3.414;3.467;3.522;3.577;3.634;3.691;3.75;3.812;3.878;3.948;4.022;4.095;4.16;4.215;4.259;4.293;4.32;4.341;4.36;4.377;4.394;4.416;4.452;4.507;4.584;4.685;4.805;4.937;5.079;5.224;5.375;5.548;5.764;6.034;6.367;6.751;7.156;7.536;7.863;8.125;8.331;8.498;8.647;8.799;8.956;9.114;9.282;9.465;9.669;9.898;10.153;10.427;10.716;11.012;11.316;11.629;11.949;12.276;12.609
Haiti;1.584;1.827;2.145;2.448;2.781;NaN;3.221;3.275;3.332;3.39;3.451;3.514;3.58;3.648;3.718;3.791;3.866;3.943;4.023;4.104;4.187;4.271;4.357;4.446;4.534;4.622;4.709;4.793;4.877;4.961;5.048;5.14;5.238;5.341;5.451;5.566;5.689;5.819;5.955;6.097;6.24;6.384;6.528;6.671;6.813;6.956;7.1;7.243;7.387;7.531;7.675;7.82;7.966;8.112;8.258;8.404;8.549;8.693;8.835;8.977;9.119;9.263;9.409;9.557;9.705;9.853;10.0;10.145;10.289;10.431;10.572;10.711
Hungary;7.115;7.638;7.956;8.635;9.268;NaN;9.338;9.478;9.595;9.691;9.768;9.829;9.877;9.914;9.945;9.973;10.001;10.031;10.065;10.1;10.136;10.17;10.205;10.239;10.274;10.309;10.346;10.382;10.417;10.455;10.495;10.541;10.594;10.651;10.704;10.743;10.759;10.75;10.72;10.674;10.623;10.573;10.527;10.482;10.443;10.41;10.385;10.37;10.365;10.364;10.361;10.352;10.335;10.311;10.283;10.253;10.224;10.196;10.168;10.141;10.117;10.096;10.078;10.064;10.051;10.035;10.015;9.989;9.958;9.925;9.89;9.855
India;243.074;253.761;267.795;285.471;324.372;NaN;376.325;382.231;388.516;395.138;402.066;409.28;416.772;424.542;432.601;440.969;449.662;458.691;468.054;477.73;487.69;497.92;508.403;519.162;530.275;541.845;553.943;566.605;579.801;593.452;607.447;621.704;636.183;650.908;665.936;681.359;697.23;713.561;730.303;747.375;764.664;782.085;799.607;817.232;834.944;852.736;870.602;888.514;906.461;924.476;942.604;960.875;979.29;997.817;1016.403;1034.977;1053.481;1071.888;1090.189;1108.37;1126.419;1144.326;1162.088;1179.686;1197.07;1214.182;1230.985;1247.446;1263.59;1279.499;1295.292;1311.051
Indonesia;38.159;42.772;47.288;53.404;61.822;NaN;69.543;70.87;72.31;73.867;75.54;77.328;79.227;81.231;83.332;85.522;87.793;90.138;92.558;95.056;97.638;100.309;103.067;105.907;108.822;111.8;114.835;117.922;121.06;124.242;127.465;130.724;134.011;137.322;140.666;144.054;147.49;150.979;154.506;158.044;161.556;165.012;168.402;171.729;175.001;178.233;181.437;184.615;187.762;190.873;193.94;196.958;199.927;202.854;205.753;208.644;211.54;214.448;217.369;220.308;223.269;226.255;229.264;232.297;235.361;238.465;241.613;244.808;248.038;251.268;254.455;257.564
Iran;9.993;10.601;11.759;13.315;15.078;NaN;17.119;17.517;17.933;18.369;18.823;19.294;19.783;20.288;20.811;21.351;21.907;22.48;23.071;23.68;24.308;24.955;25.625;26.318;27.033;27.765;28.514;29.281;30.074;30.904;31.785;32.731;33.739;34.814;35.978;37.257;38.668;40.209;41.862;43.611;45.429;47.291;49.206;51.152;53.036;54.735;56.169;57.288;58.13;58.812;59.501;60.319;61.307;62.426;63.616;64.78;65.85;66.813;67.697;68.522;69.322;70.122;70.923;71.721;72.531;73.371;74.253;75.184;76.157;77.152;78.144;79.109
